 Count,Member,Party,Column1
7309,"Bercow, John",Speaker,white
5698,"May, Theresa",Conservative,#0087DC
3606,"Leadsom, Andrea",Conservative,#0087DC
1828,"Shannon, Jim",Democratic Unionist Party,#D46A4C
1703,"Javid, Sajid",Conservative,#0087DC
1160,"Stride, Mel",Conservative,#0087DC
1133,"Grayling, Chris",Conservative,#0087DC
1130,"Burt, Alistair",Conservative,#0087DC
1120,"Clark, Greg",Conservative,#0087DC
1080,"Hunt, Jeremy",Conservative,#0087DC
1061,"Hancock, Matt",Conservative,#0087DC
979,"Lidington, David",Conservative,#0087DC
951,"Atkins, Victoria",Conservative,#0087DC
950,"Johnson, Boris",Conservative,#0087DC
939,"Hoyle, Lindsay",Speaker,white
896,"Laing, Eleanor",Speaker,white
868,"Barclay, Stephen",Conservative,#0087DC
848,"Brokenshire, James",Conservative,#0087DC
841,"Rudd, Amber",Conservative,#0087DC
838,"Foster, Kevin",Conservative,#0087DC
833,"Bradley, Karen",Conservative,#0087DC
826,"Kerr, Stephen",Conservative,#0087DC
825,"Corbyn, Jeremy",Labour,#DC241f
823,"Hollobone, Philip",Conservative,#0087DC
806,"Bryant, Chris",Labour,#DC241f
780,"Hurd, Nick",Conservative,#0087DC
779,"Raab, Dominic",Conservative,#0087DC
772,"Gove, Michael",Conservative,#0087DC
761,"Gauke, David",Conservative,#0087DC
756,"Brake, Tom",Liberal Democrat,#FAA61A
717,"Hammond, Philip",Conservative,#0087DC
711,"Sheerman, Barry",Labour (Co-op),#CC0000
704,"Fox, Liam",Conservative,#0087DC
697,"Soubry, Anna",Change UK   The Independent Group,#cccccc
691,"Ford, Vicky",Conservative,#0087DC
685,"Brown, Alan",Scottish National Party,#FEF987
676,"Field, Mark",Conservative,#0087DC
667,"Cherry, Joanna",Scottish National Party,#FEF987
665,"Williamson, Gavin",Conservative,#0087DC
663,"Cunningham, Jim",Labour,#DC241f
659,"Thewliss, Alison",Scottish National Party,#FEF987
656,"Duncan, Alan",Conservative,#0087DC
652,"Nokes, Caroline",Conservative,#0087DC
650,"Walker, Robin",Conservative,#0087DC
648,"Davis, David",Conservative,#0087DC
643,"Perry, Claire",Conservative,#0087DC
630,"Stewart, Rory",Conservative,#0087DC
627,"Wright, Jeremy",Conservative,#0087DC
623,"Sweeney, Paul",Labour (Co-op),#CC0000
621,"Hinds, Damian",Conservative,#0087DC
617,"Brine, Steve",Conservative,#0087DC
616,"Linden, David",Scottish National Party,#FEF987
610,"Gibb, Nick",Conservative,#0087DC
608,"Doyle-Price, Jackie",Conservative,#0087DC
608,"Maskell, Rachael",Labour (Co-op),#CC0000
599,"Blackford, Ian",Scottish National Party,#FEF987
591,"Howell, John",Conservative,#0087DC
587,"Sharma, Alok",Conservative,#0087DC
576,"Grant, Peter",Scottish National Party,#FEF987
572,"Hobhouse, Wera",Liberal Democrat,#FAA61A
569,"Chalk, Alex",Conservative,#0087DC
568,"Ellwood, Tobias",Conservative,#0087DC
558,"Starmer, Keir",Labour,#DC241f
556,"Wishart, Pete",Scottish National Party,#FEF987
546,"Graham, Luke",Conservative,#0087DC
542,"Mundell, David",Conservative,#0087DC
540,"Mordaunt, Penny",Conservative,#0087DC
537,"Hollinrake, Kevin",Conservative,#0087DC
536,"Baldwin, Harriett",Conservative,#0087DC
534,"Hayes, John",Conservative,#0087DC
528,"Swayne, Desmond",Conservative,#0087DC
525,"Newton, Sarah",Conservative,#0087DC
524,"Buckland, Robert",Conservative,#0087DC
522,"Baker, Steve",Conservative,#0087DC
521,"Maclean, Rachel",Conservative,#0087DC
518,"James, Margot",Conservative,#0087DC
516,"Norman, Jesse",Conservative,#0087DC
515,"Hendry, Drew",Scottish National Party,#FEF987
514,"Frazer, Lucy",Conservative,#0087DC
509,"Winterton, Rosie",Labour,#DC241f
507,"Blackman, Bob",Conservative,#0087DC
506,"Glen, John",Conservative,#0087DC
500,"Whitford, Philippa",Scottish National Party,#FEF987
497,"MacNeil, Angus Brendan",Scottish National Party,#FEF987
496,"Goodman, Helen",Labour,#DC241f
492,"Redwood, John",Conservative,#0087DC
488,"Truss, Elizabeth",Conservative,#0087DC
488,"Doughty, Stephen",Labour (Co-op),#CC0000
485,"Greening, Justine",Conservative,#0087DC
484,"Leslie, Chris",Change UK   The Independent Group,#cccccc
484,"Wallace, Ben",Conservative,#0087DC
479,"Stephens, Chris",Scottish National Party,#FEF987
463,"Johnson, Joseph",Conservative,#0087DC
460,"Davies, Philip",Conservative,#0087DC
459,"Cash, William",Conservative,#0087DC
459,"Smith, Chloe",Conservative,#0087DC
459,"Gray, Neil",Scottish National Party,#FEF987
458,"Dinenage, Caroline",Conservative,#0087DC
458,"Neill, Robert",Conservative,#0087DC
455,"McVey, Esther",Conservative,#0087DC
454,"Gibson, Patricia",Scottish National Party,#FEF987
454,"Grady, Patrick",Scottish National Party,#FEF987
451,"Cooper, Yvette",Labour,#DC241f
451,"Stewart, Bob",Conservative,#0087DC
447,"McDonald, Stewart Malcolm",Scottish National Party,#FEF987
445,"Bone, Peter",Conservative,#0087DC
445,"Ghani, Nusrat",Conservative,#0087DC
442,"Malthouse, Kit",Conservative,#0087DC
442,"George, Ruth",Labour,#DC241f
439,"Hanson, David",Labour,#DC241f
439,"Ross, Douglas",Conservative,#0087DC
431,"Johnson, Diana",Labour,#DC241f
427,"Drew, David",Labour (Co-op),#CC0000
427,"Sunak, Rishi",Conservative,#0087DC
426,"Lefroy, Jeremy",Conservative,#0087DC
425,"Pow, Rebecca",Conservative,#0087DC
424,"Cartlidge, James",Conservative,#0087DC
424,"Hoare, Simon",Conservative,#0087DC
421,"Tolhurst, Kelly",Conservative,#0087DC
419,"Grieve, Dominic",Conservative,#0087DC
416,"Rees-Mogg, Jacob",Conservative,#0087DC
415,"Benn, Hilary",Labour,#DC241f
412,"Lewis, Julian",Conservative,#0087DC
410,"Jones, Andrew",Conservative,#0087DC
409,"Cairns, Alun",Conservative,#0087DC
409,"Leigh, Edward",Conservative,#0087DC
408,"Merriman, Huw",Conservative,#0087DC
405,"Eustice, George",Conservative,#0087DC
404,"Davey, Edward",Liberal Democrat,#FAA61A
403,"Tomlinson, Justin",Conservative,#0087DC
400,"Harrington, Richard",Conservative,#0087DC
400,"Monaghan, Carol",Scottish National Party,#FEF987
400,"Dowd, Peter",Labour,#DC241f
396,"Coffey, Therese",Conservative,#0087DC
396,"Hammond, Stephen",Conservative,#0087DC
395,"Murray, Ian",Labour,#DC241f
394,"Clarke, Kenneth",Conservative,#0087DC
394,"Slaughter, Andy",Labour,#DC241f
389,"Green, Kate",Labour,#DC241f
389,"Streeting, Wes",Labour,#DC241f
386,"Thomas-Symonds, Nick",Labour,#DC241f
384,"Blackman, Kirsty",Scottish National Party,#FEF987
383,"Madders, Justin",Labour,#DC241f
381,"Courts, Robert",Conservative,#0087DC
380,"Graham, Richard",Conservative,#0087DC
374,"Skidmore, Chris",Conservative,#0087DC
371,"Gethins, Stephen",Scottish National Party,#FEF987
368,"Pollard, Luke",Labour (Co-op),#CC0000
