SI,SIname,workPackage,proc,procStepName,procStepName2,itemDate,itemDate1,time
 https://id.parliament.uk/6IJkcRi4 , European Union (Withdrawal) Act 2018 (Exit Day) (Amendment) Regulations 2019 , https://id.parliament.uk/rBLQMjMc , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2019-03-25,2019-03-27,2
 https://id.parliament.uk/g6BC6qRr , Terrorism Act 2000 (Proscribed Organisations) (Amendment) Order 2019 , https://id.parliament.uk/W839LKiD , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2019-02-25,2019-02-28,3
 https://id.parliament.uk/hTPxqHkt , Terrorism Act 2000 (Proscribed Organisations) (Amendment) Order 2017 , https://id.parliament.uk/hiQAdY08 , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2017-12-18,2017-12-21,3
 https://id.parliament.uk/w7eIPYUN , Local Loans (Increase of Limit) Order 2019 , https://id.parliament.uk/xvY44tED , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons ,2019-09-26,2019-10-07,11
 https://id.parliament.uk/XZlRsbFX , Agriculture (Legislative Functions) (EU Exit) (No. 2) Regulations 2019 , https://id.parliament.uk/7IYxQSlZ , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2019-03-13,2019-03-26,13
 https://id.parliament.uk/qAV8Fmj9 , Climate Change Act 2008 (2050 Target Amendment) Order 2019 , https://id.parliament.uk/puLtrOXc , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2019-06-12,2019-06-26,14
 https://id.parliament.uk/weyVvV8C , Scottish Rates of Income Tax (Consequential Amendments) Order 2018 , https://id.parliament.uk/pW6eiyw6 , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons ,2018-03-12,2018-03-28,15
 https://id.parliament.uk/64lg6hcg , Capital Allowances (Structures and Buildings Allowances) Regulations 2019 , https://id.parliament.uk/da9YJG8h , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons ,2019-06-17,2019-07-03,16
 https://id.parliament.uk/POCP7b5G , Civil Partnership (Opposite-sex Couples) Regulations 2019 , https://id.parliament.uk/dIkJPjPb , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2019-10-21,2019-11-05,16
 https://id.parliament.uk/oJUu0AhD , Food and Farming (Amendment) (EU Exit) Regulations 2019 , https://id.parliament.uk/FfZwrJlG , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2019-03-11,2019-03-27,16
 https://id.parliament.uk/DI50padB , Representation of the People (Annual Canvass) (Amendment) Regulations 2019 , https://id.parliament.uk/q9e20M1H , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2019-10-14,2019-10-31,18
 https://id.parliament.uk/hWzWt8EQ , Income Tax (Trading and Other Income) Act 2005 (Amendments to Chapter 2A of Part 5) Regulations 2019 , https://id.parliament.uk/QIi9AUyC , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons ,2019-10-14,2019-10-31,18
 https://id.parliament.uk/MxDWvB1X , International Bank for Reconstruction and Development (Selective Capital Increase) Order 2019 , https://id.parliament.uk/JgnXPIe6 , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons ,2019-06-27,2019-07-16,19
 https://id.parliament.uk/sQoQ49uy , International Bank for Reconstruction and Development (General Capital Increase) Order 2019 , https://id.parliament.uk/3zgmuiN8 , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons ,2019-06-27,2019-07-16,19
 https://id.parliament.uk/yDWggRgx , Food Additives  Flavourings  Enzymes and Extraction Solvents (Amendment etc.) (EU Exit) Regulations 2019 , https://id.parliament.uk/9EWVTAF8 , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2019-03-20,2019-04-09,19
 https://id.parliament.uk/T5UFNDZN , Finance Act 2003  Part 3 (Amendment) Order 2018 , https://id.parliament.uk/AYegwjg7 , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons ,2018-03-05,2018-03-28,22
 https://id.parliament.uk/W8ewQ5nq , Trade etc. in Dual-use Items and Firearms etc. (Amendment) (EU Exit) Regulations 2019 , https://id.parliament.uk/6RIohnrg , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2019-03-04,2019-03-26,22
 https://id.parliament.uk/oJUjJfqs , Environmental Protection (Microbeads) (England) Regulations 2017 , https://id.parliament.uk/itMo6zGr , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2017-11-27,2017-12-19,22
 https://id.parliament.uk/reflTdLD , Agriculture (Legislative Functions) (EU Exit) Regulations 2019 , https://id.parliament.uk/FPNWg9Rz , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2019-03-04,2019-03-26,22
 https://id.parliament.uk/uIryalP2 , Land Registry Trading Fund (Extension and Amendment) Order 2018 , https://id.parliament.uk/J5V1fuXg , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons ,2018-02-26,2018-03-20,22
 https://id.parliament.uk/IjLgnN8z , Immigration (Provision of Physical Data) (Amendment) (EU Exit) Regulations 2018 , https://id.parliament.uk/Y6qiLSBv , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2018-07-02,2018-07-24,23
 https://id.parliament.uk/Xflp0n0f , Waste (Miscellaneous Amendments) (EU Exit) Regulations 2019 , https://id.parliament.uk/ycd7aftp , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2019-02-18,2019-03-13,23
 https://id.parliament.uk/c0IpQmwt , Higher Education (Fee Limits and Fee Limit Condition) (England) Regulations 2018 , https://id.parliament.uk/G9ni0BQM , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2018-07-02,2018-07-24,23
 https://id.parliament.uk/H1FLlZYf , Railway (Licensing of Railway Undertakings) (Amendment etc.) (EU Exit) Regulations 2019 , https://id.parliament.uk/VelmkmCX , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2019-02-25,2019-03-21,24
 https://id.parliament.uk/IA1CLT90 , Financial Services (Miscellaneous) (Amendment) (EU Exit) Regulations 2019 , https://id.parliament.uk/0B6oYCEI , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2019-02-25,2019-03-21,24
 https://id.parliament.uk/fJKT93ZZ , International Waste Shipments (Amendment) (EU Exit) Regulations 2019 , https://id.parliament.uk/vMS396Rj , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2019-02-11,2019-03-07,24
 https://id.parliament.uk/EguXJdHa , Financial Conglomerates and Other Financial Groups (Amendment etc.) (EU Exit) Regulations 2019 , https://id.parliament.uk/TerEmbVf , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2019-01-17,2019-02-11,25
 https://id.parliament.uk/cR4D7wsT , Geo-blocking Regulation (Revocation) (EU Exit) Regulations 2019 , https://id.parliament.uk/nDmWcvUE , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2019-03-14,2019-04-09,25
 https://id.parliament.uk/1YRPshpy , Justice and Security (Northern Ireland) Act 2007 (Extension of duration of non-jury trial provisions) Order 2017 , https://id.parliament.uk/ERKQrAwU , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2017-06-22,2017-07-18,26
 https://id.parliament.uk/1pY5oiTZ , Common Fisheries Policy (Amendment etc.) (EU Exit) (No. 2) Regulations 2019 , https://id.parliament.uk/TRhsL5IM , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2019-02-28,2019-03-26,26
 https://id.parliament.uk/4vrG6k32 , Customs Safety and Security Procedures (EU Exit) Regulations 2019 , https://id.parliament.uk/LXgaIk4R , Draft affirmative , Laid before the House of Commons , Instrument approved by the House of Commons and the House of Lords ,2019-02-27,2019-03-26,27
