Type,Ref,Date,Monthyear,Count,Title,Summary,Department,Corporate author,Legislature,Subject,Topic,Legislation,Witnesses,Library location,Weblocation
Treaties,CP 157,18/07/2019,72019,1,"International Agreement, adopted at Geneva on 20 March 1992, on Sugar",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Membership; International Sugar Organisation; International Sugar Agreement; Brexit,,,, ,https://www.gov.uk/government/publications/international-sugar-agreement-1992-ms-no302019
Treaties,CP 155,18/07/2019,72019,2,"International Agreement, adopted at London on 28 September 2007, on Coffee",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Membership; International Coffee Organisation; International Coffee Agreement; Brexit,,,, ,https://www.gov.uk/government/publications/international-coffee-agreement-2007-ms-no282019
Treaties,CP 159,18/07/2019,72019,3,"Convention, done at London on 7 December 1994, on the Grains Trade",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Membership; Grains Trade Convention 1995; International Grains Council; Brexit,,,, ,https://www.gov.uk/government/publications/grains-trade-convention-1995-ms-no312019
Treaties,CP 156,18/07/2019,72019,4,"Agreement, done at Paris on 3 April 2001, establishing the International Organisation of Vine and Wine",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,International Organisation of Vine and Wine,,,, ,https://www.gov.uk/government/publications/agreement-establishing-the-international-organisation-of-vine-and-wine-ms-no292019
Treaties,CP 152,18/07/2019,72019,5,"Agreement, done at London on 10 July 2019, between the United Kingdom of Great Britain and Northern Ireland and the Swiss Confederation on Admission to the Labour market for a Temporary Transitional Period following the withdrawal of the United Kingdom from the European Union and the Free Movement of Persons Agreement",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Free movement of people; Transitional arrangements; Switzerland; Brexit,,,, ,https://www.gov.uk/government/publications/ukswitzerland-agreement-on-admission-to-the-labour-market-for-a-temporary-transitional-period-following-the-withdrawal-of-the-uk-from-the-eu-and-the
Treaties,CP 141,04/07/2019,72019,6,"Agreement, done at Luxembourg on 18 June 2019, between the United Kingdom of Great Britain and Northern Ireland and the Grand Duchy of Luxembourg on the Participation in Certain Elections of Nationals of Each Country Resident in the Territory of the Other",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Candidates; British nationals abroad; Elections; EU nationals; Local government; Reciprocal arrangements; Voting rights; Luxembourg,,,, ,https://www.gov.uk/government/publications/cs-luxembourg-no12019-ukluxembourg-agreement-on-the-participation-in-certain-elections-of-nationals-of-each-country-resident-in-the-territory-o
Treaties,CP 145,04/07/2019,72019,7,"Revised Agreement, done at Geneva on 30 March 2012, on Government Procurement",,Foreign and Commonwealth Office,,House of Lords; House of Commons,Australia; Procurement,,,, ,https://www.gov.uk/government/publications/ms-no242019-new-and-amended-schedules-to-the-revised-agreement-on-government-procurement-as-a-result-of-australias-accession
Treaties,CP 142,04/07/2019,72019,8,"Agreement, done at Lisbon on 12 June 2019, between the United Kingdom of Great Britain and Northern Ireland and the Portuguese Republic regarding the Participation in Local Elections of Nationals of each State Resident in the Other's Territory",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Candidates; British nationals abroad; Elections; EU nationals; Local government; Reciprocal arrangements; Voting rights; Portugal; Brexit,,,, ,https://www.gov.uk/government/publications/cs-portugal-no12019-ukportugal-agreement-regarding-the-participation-in-local-elections-of-nationals-of-each-state-resident-in-the-others-terri
Treaties,CP 136,27/06/2019,62019,1,"Protocol, done at Brussels on 6 February 2019, to the North Atlantic Treaty on the Accession of the Republic of North Macedonia",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,NATO; NATO enlargement; North Macedonia,,,, ,https://www.gov.uk/government/publications/ms-no232019-protocol-to-the-north-atlantic-treaty-on-the-accession-of-the-republic-of-north-macedonia
Treaties,CP 129,24/06/2019,62019,2,"Protocol, done at London on 7 June 2019, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of Ukraine on International Road Transport",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Freight; Transport; Roads; Ukraine,,,, ,https://www.gov.uk/government/publications/cs-ukraine-no12019-ukukraine-protocol-on-amendments-to-the-agreement-on-international-road-transport
Treaties,CP 124,19/06/2019,62019,3,"Agreement, done at London on 24 July 2018, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the State of Kuwait on Air Services",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Aviation; Air routes; Kuwait,,,, ,https://www.gov.uk/government/publications/cs-kuwait-no12019-ukkuwait-air-services
Treaties,CP 123,19/06/2019,62019,4,"Agreement, done at London on 5 March 2019, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Commonwealth of the Bahamas on Air Services",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Aviation; Air routes; Bahamas,,,, ,https://www.gov.uk/government/publications/cs-bahamas-no12019-ukbahamas-air-services
Treaties,CP 122,14/06/2019,62019,5,"Agreement, done at Quito on 15 May 2019, between the United Kingdom of Great Britain and Northern Ireland and the Republic of Colombia, the Republic of Ecuador and the Republic of Peru on Trade",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Trade; Colombia; Peru; Ecuador,,,, ,https://www.gov.uk/government/publications/ms-no222019-trade-agreement-between-the-united-kingdom-of-great-britain-and-northern-ireland-of-the-one-part-and-the-republic-of-colombia-the-r
Treaties,CP 116,13/06/2019,62019,6,"Protocol, done at Brussels on 28 January 2019, to the North Atlantic Treaty on the Accession of the Republic of North Macedonia",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,NATO; NATO enlargement; North Macedonia,,,, ,https://www.gov.uk/government/publications/ms-no202019-protocol-to-the-north-atlantic-treaty-on-the-accession-of-the-republic-of-north-macedonia
Treaties,CP 121,13/06/2019,62019,7,"Agreement, done at Glasgow on 16 July 2013, between the United Kingdom of Great Britain and Northern Ireland and the European Space Agency on the European Space Agency's Sites and Facilities in the United Kingdom",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Buildings; Land; European Space Agency,,,, ,https://www.gov.uk/government/publications/ms-no212019-agreement-between-the-government-of-the-united-kingdom-of-great-britain-and-northern-ireland-and-the-european-space-agency-concerning
Treaties,CP 101,23/05/2019,52019,1,"The Antarctic Treaty: Measures adopted at the Forty-first Consultative Meeting held at Buenos Aires, Argentina 13–18 May 2018",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Antarctic; Antarctic Treaty; Environment protection; Nature conservation; Seas and oceans; Wildlife,,,, ,https://www.gov.uk/government/publications/the-antarctic-treaty-measures-adopted-at-the-41st-consultative-meeting-2018
Treaties,CP 103,22/05/2019,52019,2,"Agreement, done at Saint Lucia on 22 March 2019, between the United Kingdom of Great Britain and Northern Ireland and the CARIFORUM States, on Economic Partnership",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Caribbean; Caribbean Community; Economic partnership agreements,,,, ,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement#treaty-text
Treaties,CP 94,07/05/2019,52019,3,"Agreement, done at Oslo on 18 March 2019, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Kingdom of Norway on International Road Transport",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Freight; Norway; Transport; Roads,,,, ,https://www.gov.uk/government/publications/cs-norway-no12019-uknorway-agreement-on-international-road-transport-with-protocol
Treaties,CP 89,12/04/2019,42019,1,"Agreement, done at London on 2 April 2019, between the United Kingdom of Great Britain and Northern Ireland, Iceland and the Kingdom of Norway on Trade in Goods",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Fisheries; Food; Import duties; Norway; Trade agreements; Quotas; Iceland; European economic area; Agricultural products,,,, ,https://www.gov.uk/government/publications/ms-no172019-agreement-between-the-united-kingdom-of-great-britain-and-northern-ireland-iceland-and-the-kingdom-of-norway-on-trade-in-goods
Treaties,CP 86,09/04/2019,42019,2,"Protocol, done at Islamabad on 27 December 2018, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Islamic Republic of Pakistan, to the Agreement on the Transfer of Prisoners",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,International cooperation; Prisoners' transfers; Pakistan; Repatriation,,,, ,https://www.gov.uk/government/publications/ts-no32019-ukpakistan-protocol-to-the-agreement-on-the-transfer-of-prisoners
